timestamp,run,asset,exchange,algorithm,mean_return,min_return,max_return,final_return
2025-12-01 16:40:25,1,ETH/USDT,binance,MC First Visit,-0.001449678673949051,-1.2970904872156175,1.4170197283414776,0.7729419918153322
2025-12-01 16:40:25,1,ETH/USDT,binance,SARSA,0.12805443565079944,-0.6355969196418243,1.054600209282719,0.13907829739599312
2025-12-01 16:40:25,1,ETH/USDT,binance,Q-Learning,-0.12582222400257737,-0.7309953529407324,0.9576782582797685,0.04074896871286513
2025-12-01 16:40:35,2,ETH/USDT,binance,MC First Visit,0.6329374667308355,-0.6219552103341995,1.124836882863108,0.6132740071801525
2025-12-01 16:40:35,2,ETH/USDT,binance,SARSA,0.20012260557874945,-0.5859510757926699,1.1841744152115563,0.303539677789806
2025-12-01 16:40:35,2,ETH/USDT,binance,Q-Learning,0.25070774932319195,-0.7685168408577134,0.9420505709375346,0.12703828015152313
2025-12-01 16:40:44,3,ETH/USDT,binance,MC First Visit,-0.4734796134912512,-1.022987840837483,0.9673468467202102,-0.6138403818721495
2025-12-01 16:40:44,3,ETH/USDT,binance,SARSA,0.19743364012457096,-0.22077462670843767,1.273477624786104,0.2741819639007237
2025-12-01 16:40:44,3,ETH/USDT,binance,Q-Learning,0.18136843687677537,-1.0129113325084897,0.9944474036717365,-0.18732059579642513
2025-12-01 16:40:53,4,ETH/USDT,binance,MC First Visit,0.16839775511943061,-0.6732387673784507,1.5875035452730328,-0.28017462196530707
2025-12-01 16:40:53,4,ETH/USDT,binance,SARSA,0.03871205160566198,-0.22577238799619784,1.3482259565508068,-0.02572593396362871
2025-12-01 16:40:53,4,ETH/USDT,binance,Q-Learning,0.6758840287731862,0.15120367996481363,1.342027270283427,0.7776893655114143
2025-12-01 16:41:04,5,ETH/USDT,binance,MC First Visit,0.43880892818723316,-0.8754267257227373,1.3394611783102628,0.25979141164737396
2025-12-01 16:41:04,5,ETH/USDT,binance,SARSA,0.10741474513526195,-0.4161304289639561,1.4141141797773673,0.13240493839255923
2025-12-01 16:41:04,5,ETH/USDT,binance,Q-Learning,0.571634394038988,-0.29997816699492724,1.2050352641390139,0.44756499540269523
2025-12-01 16:41:15,6,ETH/USDT,binance,MC First Visit,0.26379797801013716,-0.5713873260321041,0.880879160609853,0.7023926348622131
2025-12-01 16:41:15,6,ETH/USDT,binance,SARSA,0.17847059988105685,-0.27731301569383376,0.7982597797812492,-0.016215322254204925
2025-12-01 16:41:15,6,ETH/USDT,binance,Q-Learning,0.22061769280116458,-0.5062528409667549,0.9410526853889752,0.1682534440108593
2025-12-01 16:41:26,7,ETH/USDT,binance,MC First Visit,0.3163143032913913,-0.9678049859632903,1.2019737472166403,0.4305811108693146
2025-12-01 16:41:26,7,ETH/USDT,binance,SARSA,0.5709692434463893,-0.6118970501770759,1.2866923502744323,0.7161267586558322
2025-12-01 16:41:26,7,ETH/USDT,binance,Q-Learning,0.9440991745685376,-0.4839673759024005,1.1434233786510757,1.0348677262256716
2025-12-01 16:41:36,8,ETH/USDT,binance,MC First Visit,0.13272891805352757,-0.5270199394573368,0.944822056661941,-0.5270199394573368
2025-12-01 16:41:36,8,ETH/USDT,binance,SARSA,0.3020437706739759,-1.3595785205738102,1.6219071897344255,-0.4620647605629106
2025-12-01 16:41:36,8,ETH/USDT,binance,Q-Learning,0.40513266178431906,-0.5082718820395138,0.7137792175157337,0.12718797097748372
2025-12-01 16:41:46,9,ETH/USDT,binance,MC First Visit,0.38838005139804427,-0.5765100635505508,0.9869879291512738,0.46882700364786767
2025-12-01 16:41:46,9,ETH/USDT,binance,SARSA,0.6989664614142096,-0.39352224453018586,1.2019444179799004,0.9730204117126734
2025-12-01 16:41:46,9,ETH/USDT,binance,Q-Learning,0.4218544370064058,-0.1721653620237398,1.0444350046473196,0.8286293849716513
2025-12-01 16:41:56,10,ETH/USDT,binance,MC First Visit,-0.08282111753358612,-0.7861473757213779,1.0854944485814977,0.526472799713028
2025-12-01 16:41:56,10,ETH/USDT,binance,SARSA,1.064199274308153,-0.21214506360237217,1.4413467312120274,0.7157152933524444
2025-12-01 16:41:56,10,ETH/USDT,binance,Q-Learning,0.0692770220787742,-0.8428577341147824,0.775468364129808,-0.5982873904647014
2025-12-01 16:46:25,1,ETH/USDT,binance,MC First Visit,-0.20452222907470605,-1.0446435972895736,1.3633723772067368,0.13342921708554586
2025-12-01 16:46:25,1,ETH/USDT,binance,SARSA,0.26101064784740424,-0.6709853143582932,1.8967821605915482,0.31996335574684714
2025-12-01 16:46:25,1,ETH/USDT,binance,Q-Learning,0.7632258243526926,-0.8919617569351765,1.206859479197655,1.1055583929438915
2025-12-01 16:46:34,2,ETH/USDT,binance,MC First Visit,0.07062638068149188,-0.7318860003155856,0.7859422427265804,-0.3897945259291497
2025-12-01 16:46:34,2,ETH/USDT,binance,SARSA,0.5473223893407938,-0.8766123335315084,1.1575750461122858,0.03486982441625152
2025-12-01 16:46:34,2,ETH/USDT,binance,Q-Learning,0.5532548722536628,-0.3132922128735539,1.5164646901501817,0.6829987041454445
2025-12-01 16:51:33,1,ETH/USDT,binance,MC First Visit,0.29558164281425975,-1.2260080263574709,1.9307245035675535,0.22318685672440938
2025-12-01 16:51:33,1,ETH/USDT,binance,SARSA,0.7736546317339971,-0.40978929828008837,1.3619707476308767,1.3619707476308767
2025-12-01 16:51:33,1,ETH/USDT,binance,Q-Learning,0.3489386145645041,-0.6110005048082052,0.9255330699595414,0.7932173648735326
