Asset,Asset_Name,Algorithm,Mean,Std,Min,Max,Median,N_Runs,Convergence_Rate,Avg_Convergence_Episode
BTC/USDT,Bitcoin,SARSA,0.6133129792284531,0.0,0.6133129792284531,0.6133129792284531,0.6133129792284531,1,100.0,2591.0
BTC/USDT,Bitcoin,Q-Learning,0.4396199009610283,0.0,0.4396199009610283,0.4396199009610283,0.4396199009610283,1,100.0,1749.0
BNB/USDT,Binance Coin,SARSA,0.9067335788467551,0.0,0.9067335788467551,0.9067335788467551,0.9067335788467551,1,100.0,1425.0
BNB/USDT,Binance Coin,Q-Learning,0.5828171679004974,0.0,0.5828171679004974,0.5828171679004974,0.5828171679004974,1,100.0,1319.0
XRP/USDT,Ripple,SARSA,2.1077086637261626,0.0,2.1077086637261626,2.1077086637261626,2.1077086637261626,1,100.0,3687.0
XRP/USDT,Ripple,Q-Learning,1.8712116708088693,0.0,1.8712116708088693,1.8712116708088693,1.8712116708088693,1,100.0,1396.0
